task_id,household_id,workflow_id,task_name,owner_queue,status,depends_on_task_id,sla_hours,created_at,due_at
TASK-5014,H-1002,WF-H-1002,Transfer submitted,Ops,PENDING,TASK-5013,24,2026-01-14T15:00:00Z,2026-01-15T15:00:00Z
TASK-5015,H-1002,WF-H-1002,Reconciliation complete,Ops,PENDING,TASK-5014,48,2026-01-14T21:00:00Z,2026-01-16T21:00:00Z
TASK-5016,H-1002,WF-H-1002,Transition complete,Ops,PENDING,TASK-5015,24,2026-01-15T03:00:00Z,2026-01-16T03:00:00Z
TASK-5017,H-1003,WF-H-1003,Intake package received,Ops,COMPLETED,,4,2026-01-14T09:00:00Z,2026-01-14T13:00:00Z
TASK-5018,H-1003,WF-H-1003,Documents classified & extracted,Ops,COMPLETED,TASK-5017,8,2026-01-14T15:00:00Z,2026-01-14T23:00:00Z
TASK-5019,H-1003,WF-H-1003,NIGO validation,Ops,COMPLETED,TASK-5018,8,2026-01-14T21:00:00Z,2026-01-15T05:00:00Z
TASK-5020,H-1003,WF-H-1003,Resolve NIGO exceptions,Ops,NEAR_BREACH,TASK-5019,24,2026-01-15T03:00:00Z,2026-01-31T19:00:00Z
TASK-5021,H-1003,WF-H-1003,Account setup complete,Ops,PENDING,TASK-5020,24,2026-01-15T09:00:00Z,2026-01-16T09:00:00Z
TASK-5022,H-1003,WF-H-1003,Transfer submitted,Ops,PENDING,TASK-5021,24,2026-01-15T15:00:00Z,2026-01-16T15:00:00Z
TASK-5023,H-1003,WF-H-1003,Reconciliation complete,Ops,PENDING,TASK-5022,48,2026-01-15T21:00:00Z,2026-01-17T21:00:00Z
TASK-5024,H-1003,WF-H-1003,Transition complete,Ops,PENDING,TASK-5023,24,2026-01-16T03:00:00Z,2026-01-17T03:00:00Z
TASK-5025,H-1004,WF-H-1004,Intake package received,Ops,COMPLETED,,4,2026-01-15T09:00:00Z,2026-01-15T13:00:00Z
TASK-5026,H-1004,WF-H-1004,Documents classified & extracted,Ops,COMPLETED,TASK-5025,8,2026-01-15T15:00:00Z,2026-01-15T23:00:00Z
TASK-5027,H-1004,WF-H-1004,NIGO validation,Ops,COMPLETED,TASK-5026,8,2026-01-15T21:00:00Z,2026-01-16T05:00:00Z
TASK-5028,H-1004,WF-H-1004,Resolve NIGO exceptions,Ops,IN_PROGRESS,TASK-5027,24,2026-01-16T03:00:00Z,2026-01-17T03:00:00Z
TASK-5029,H-1004,WF-H-1004,Account setup complete,Ops,PENDING,TASK-5028,24,2026-01-16T09:00:00Z,2026-01-17T09:00:00Z
TASK-5030,H-1004,WF-H-1004,Transfer submitted,Ops,PENDING,TASK-5029,24,2026-01-16T15:00:00Z,2026-01-17T15:00:00Z
TASK-5031,H-1004,WF-H-1004,Reconciliation complete,Ops,PENDING,TASK-5030,48,2026-01-16T21:00:00Z,2026-01-18T21:00:00Z
TASK-5032,H-1004,WF-H-1004,Transition complete,Ops,PENDING,TASK-5031,24,2026-01-17T03:00:00Z,2026-01-18T03:00:00Z
TASK-5033,H-1005,WF-H-1005,Intake package received,Ops,COMPLETED,,4,2026-01-16T09:00:00Z,2026-01-16T13:00:00Z
TASK-5034,H-1005,WF-H-1005,Documents classified & extracted,Ops,COMPLETED,TASK-5033,8,2026-01-16T15:00:00Z,2026-01-16T23:00:00Z
TASK-5035,H-1005,WF-H-1005,NIGO validation,Ops,COMPLETED,TASK-5034,8,2026-01-16T21:00:00Z,2026-01-17T05:00:00Z
TASK-5036,H-1005,WF-H-1005,Resolve NIGO exceptions,Ops,IN_PROGRESS,TASK-5035,24,2026-01-17T03:00:00Z,2026-01-18T03:00:00Z
TASK-5037,H-1005,WF-H-1005,Account setup complete,Ops,PENDING,TASK-5036,24,2026-01-17T09:00:00Z,2026-01-18T09:00:00Z
TASK-5038,H-1005,WF-H-1005,Transfer submitted,Ops,PENDING,TASK-5037,24,2026-01-17T15:00:00Z,2026-01-18T15:00:00Z
TASK-5039,H-1005,WF-H-1005,Reconciliation complete,Ops,PENDING,TASK-5038,48,2026-01-17T21:00:00Z,2026-01-19T21:00:00Z
TASK-5040,H-1005,WF-H-1005,Transition complete,Ops,PENDING,TASK-5039,24,2026-01-18T03:00:00Z,2026-01-19T03:00:00Z
TASK-5041,H-1006,WF-H-1006,Intake package received,Ops,COMPLETED,,4,2026-01-17T09:00:00Z,2026-01-17T13:00:00Z
TASK-5042,H-1006,WF-H-1006,Documents classified & extracted,Ops,COMPLETED,TASK-5041,8,2026-01-17T15:00:00Z,2026-01-17T23:00:00Z
TASK-5043,H-1006,WF-H-1006,NIGO validation,Ops,COMPLETED,TASK-5042,8,2026-01-17T21:00:00Z,2026-01-18T05:00:00Z
TASK-5044,H-1006,WF-H-1006,Resolve NIGO exceptions,Ops,NEAR_BREACH,TASK-5043,24,2026-01-18T03:00:00Z,2026-01-31T19:00:00Z
TASK-5045,H-1006,WF-H-1006,Account setup complete,Ops,PENDING,TASK-5044,24,2026-01-18T09:00:00Z,2026-01-19T09:00:00Z
TASK-5046,H-1006,WF-H-1006,Transfer submitted,Ops,PENDING,TASK-5045,24,2026-01-18T15:00:00Z,2026-01-19T15:00:00Z
TASK-5047,H-1006,WF-H-1006,Reconciliation complete,Ops,PENDING,TASK-5046,48,2026-01-18T21:00:00Z,2026-01-20T21:00:00Z
TASK-5048,H-1006,WF-H-1006,Transition complete,Ops,PENDING,TASK-5047,24,2026-01-19T03:00:00Z,2026-01-20T03:00:00Z
TASK-5049,H-1007,WF-H-1007,Intake package received,Ops,COMPLETED,,4,2026-01-18T09:00:00Z,2026-01-18T13:00:00Z
TASK-5050,H-1007,WF-H-1007,Documents classified & extracted,Ops,COMPLETED,TASK-5049,8,2026-01-18T15:00:00Z,2026-01-18T23:00:00Z
TASK-5051,H-1007,WF-H-1007,NIGO validation,Ops,COMPLETED,TASK-5050,8,2026-01-18T21:00:00Z,2026-01-19T05:00:00Z
TASK-5052,H-1007,WF-H-1007,Resolve NIGO exceptions,Ops,IN_PROGRESS,TASK-5051,24,2026-01-19T03:00:00Z,2026-01-20T03:00:00Z
TASK-5053,H-1007,WF-H-1007,Account setup complete,Ops,PENDING,TASK-5052,24,2026-01-19T09:00:00Z,2026-01-20T09:00:00Z
TASK-5054,H-1007,WF-H-1007,Transfer submitted,Ops,PENDING,TASK-5053,24,2026-01-19T15:00:00Z,2026-01-20T15:00:00Z
TASK-5055,H-1007,WF-H-1007,Reconciliation complete,Ops,PENDING,TASK-5054,48,2026-01-19T21:00:00Z,2026-01-21T21:00:00Z
TASK-5056,H-1007,WF-H-1007,Transition complete,Ops,PENDING,TASK-5055,24,2026-01-20T03:00:00Z,2026-01-21T03:00:00Z
TASK-5057,H-1008,WF-H-1008,Intake package received,Ops,COMPLETED,,4,2026-01-19T09:00:00Z,2026-01-19T13:00:00Z
TASK-5058,H-1008,WF-H-1008,Documents classified & extracted,Ops,COMPLETED,TASK-5057,8,2026-01-19T15:00:00Z,2026-01-19T23:00:00Z
TASK-5059,H-1008,WF-H-1008,NIGO validation,Ops,COMPLETED,TASK-5058,8,2026-01-19T21:00:00Z,2026-01-20T05:00:00Z
TASK-5060,H-1008,WF-H-1008,Resolve NIGO exceptions,Ops,COMPLETED,TASK-5059,24,2026-01-20T03:00:00Z,2026-01-21T03:00:00Z
TASK-5061,H-1008,WF-H-1008,Account setup complete,Ops,COMPLETED,TASK-5060,24,2026-01-20T09:00:00Z,2026-01-21T09:00:00Z
TASK-5062,H-1008,WF-H-1008,Transfer submitted,Ops,COMPLETED,TASK-5061,24,2026-01-20T15:00:00Z,2026-01-21T15:00:00Z
TASK-5063,H-1008,WF-H-1008,Reconciliation complete,Ops,PENDING,TASK-5062,48,2026-01-20T21:00:00Z,2026-01-22T21:00:00Z
TASK-5064,H-1008,WF-H-1008,Transition complete,Ops,PENDING,TASK-5063,24,2026-01-21T03:00:00Z,2026-01-22T03:00:00Z
TASK-5065,H-1009,WF-H-1009,Intake package received,Ops,COMPLETED,,4,2026-01-20T09:00:00Z,2026-01-20T13:00:00Z
TASK-5066,H-1009,WF-H-1009,Documents classified & extracted,Ops,COMPLETED,TASK-5065,8,2026-01-20T15:00:00Z,2026-01-20T23:00:00Z
TASK-5067,H-1009,WF-H-1009,NIGO validation,Ops,IN_PROGRESS,TASK-5066,8,2026-01-20T21:00:00Z,2026-01-21T05:00:00Z
TASK-5068,H-1009,WF-H-1009,Resolve NIGO exceptions,Ops,PENDING,TASK-5067,24,2026-01-21T03:00:00Z,2026-01-22T03:00:00Z
TASK-5069,H-1009,WF-H-1009,Account setup complete,Ops,PENDING,TASK-5068,24,2026-01-21T09:00:00Z,2026-01-22T09:00:00Z
TASK-5070,H-1009,WF-H-1009,Transfer submitted,Ops,PENDING,TASK-5069,24,2026-01-21T15:00:00Z,2026-01-22T15:00:00Z
TASK-5071,H-1009,WF-H-1009,Reconciliation complete,Ops,PENDING,TASK-5070,48,2026-01-21T21:00:00Z,2026-01-23T21:00:00Z
TASK-5072,H-1009,WF-H-1009,Transition complete,Ops,PENDING,TASK-5071,24,2026-01-22T03:00:00Z,2026-01-23T03:00:00Z
TASK-5073,H-1010,WF-H-1010,Intake package received,Ops,COMPLETED,,4,2026-01-21T09:00:00Z,2026-01-21T13:00:00Z
TASK-5074,H-1010,WF-H-1010,Documents classified & extracted,Ops,COMPLETED,TASK-5073,8,2026-01-21T15:00:00Z,2026-01-21T23:00:00Z
TASK-5075,H-1010,WF-H-1010,NIGO validation,Ops,COMPLETED,TASK-5074,8,2026-01-21T21:00:00Z,2026-01-22T05:00:00Z
TASK-5076,H-1010,WF-H-1010,Resolve NIGO exceptions,Ops,COMPLETED,TASK-5075,24,2026-01-22T03:00:00Z,2026-01-23T03:00:00Z
TASK-5077,H-1010,WF-H-1010,Account setup complete,Ops,COMPLETED,TASK-5076,24,2026-01-22T09:00:00Z,2026-01-23T09:00:00Z
TASK-5078,H-1010,WF-H-1010,Transfer submitted,Ops,COMPLETED,TASK-5077,24,2026-01-22T15:00:00Z,2026-01-23T15:00:00Z
TASK-5079,H-1010,WF-H-1010,Reconciliation complete,Ops,PENDING,TASK-5078,48,2026-01-22T21:00:00Z,2026-01-24T21:00:00Z
TASK-5080,H-1010,WF-H-1010,Transition complete,Ops,PENDING,TASK-5079,24,2026-01-23T03:00:00Z,2026-01-24T03:00:00Z
TASK-5081,H-1011,WF-H-1011,Intake package received,Ops,COMPLETED,,4,2026-01-22T09:00:00Z,2026-01-22T13:00:00Z
TASK-5082,H-1011,WF-H-1011,Documents classified & extracted,Ops,COMPLETED,TASK-5081,8,2026-01-22T15:00:00Z,2026-01-22T23:00:00Z
TASK-5083,H-1011,WF-H-1011,NIGO validation,Ops,IN_PROGRESS,TASK-5082,8,2026-01-22T21:00:00Z,2026-01-23T05:00:00Z
TASK-5084,H-1011,WF-H-1011,Resolve NIGO exceptions,Ops,PENDING,TASK-5083,24,2026-01-23T03:00:00Z,2026-01-24T03:00:00Z
TASK-5085,H-1011,WF-H-1011,Account setup complete,Ops,PENDING,TASK-5084,24,2026-01-23T09:00:00Z,2026-01-24T09:00:00Z
TASK-5086,H-1011,WF-H-1011,Transfer submitted,Ops,PENDING,TASK-5085,24,2026-01-23T15:00:00Z,2026-01-24T15:00:00Z
TASK-5087,H-1011,WF-H-1011,Reconciliation complete,Ops,PENDING,TASK-5086,48,2026-01-23T21:00:00Z,2026-01-25T21:00:00Z
TASK-5088,H-1011,WF-H-1011,Transition complete,Ops,PENDING,TASK-5087,24,2026-01-24T03:00:00Z,2026-01-25T03:00:00Z
TASK-5089,H-1012,WF-H-1012,Intake package received,Ops,COMPLETED,,4,2026-01-23T09:00:00Z,2026-01-23T13:00:00Z
TASK-5090,H-1012,WF-H-1012,Documents classified & extracted,Ops,COMPLETED,TASK-5089,8,2026-01-23T15:00:00Z,2026-01-23T23:00:00Z
TASK-5091,H-1012,WF-H-1012,NIGO validation,Ops,COMPLETED,TASK-5090,8,2026-01-23T21:00:00Z,2026-01-24T05:00:00Z
TASK-5092,H-1012,WF-H-1012,Resolve NIGO exceptions,Ops,COMPLETED,TASK-5091,24,2026-01-24T03:00:00Z,2026-01-25T03:00:00Z
TASK-5093,H-1012,WF-H-1012,Account setup complete,Ops,COMPLETED,TASK-5092,24,2026-01-24T09:00:00Z,2026-01-25T09:00:00Z
TASK-5094,H-1012,WF-H-1012,Transfer submitted,Ops,COMPLETED,TASK-5093,24,2026-01-24T15:00:00Z,2026-01-25T15:00:00Z
TASK-5095,H-1012,WF-H-1012,Reconciliation complete,Ops,COMPLETED,TASK-5094,48,2026-01-24T21:00:00Z,2026-01-26T21:00:00Z
TASK-5096,H-1012,WF-H-1012,Transition complete,Ops,COMPLETED,TASK-5095,24,2026-01-25T03:00:00Z,2026-01-26T03:00:00Z
